relative_path,raw_sharpness,raw_brightness_mean,raw_brightness_std,deploy_sharpness,deploy_brightness_mean,deploy_brightness_std,restormer_teacher_sharpness,restormer_teacher_brightness_mean,restormer_teacher_brightness_std,nafnet_teacher_sharpness,nafnet_teacher_brightness_mean,nafnet_teacher_brightness_std
morning/sunny/building/5x/frame_4675.png,229.18397521972656,0.5008403062820435,0.2607294023036957,214.3785400390625,0.5016300678253174,0.26215121150016785,228.41868591308594,0.50118088722229,0.2608445882797241,229.18458557128906,0.5008403062820435,0.2607294023036957
morning/sunny/building/7x/frame_4825.png,183.32032775878906,0.5278322100639343,0.23298393189907074,102.90900421142578,0.5285388827323914,0.2342037707567215,182.6721649169922,0.5281469225883484,0.233066126704216,183.32032775878906,0.5278322100639343,0.23298393189907074
morning/sunny/dark/1x/frame_3425.png,501.3290100097656,0.0657305121421814,0.045726727694272995,206.12364196777344,0.06476633250713348,0.04286890849471092,400.5998229980469,0.06503497064113617,0.04616473615169525,501.3192443847656,0.0657304897904396,0.045726679265499115
morning/sunny/dark/7x/frame_4275.png,289.0078125,0.05472772940993309,0.04098118469119072,129.12030029296875,0.053663235157728195,0.03967202082276344,155.88522338867188,0.05431656911969185,0.04497094452381134,289.001953125,0.05472768843173981,0.04098118841648102
morning/sunny/flat/1x/frame_0225.png,1071.5592041015625,0.5930556058883667,0.058088816702365875,119.52429962158203,0.5944380164146423,0.04356774687767029,1060.9202880859375,0.5930556058883667,0.05808882787823677,1071.55908203125,0.5930556058883667,0.058088816702365875
morning/sunny/flat/3x/frame_1375.png,636.5153198242188,0.5782528519630432,0.0328562967479229,36.77429962158203,0.578866720199585,0.020247971639037132,630.4417114257812,0.5782528519630432,0.0328562930226326,636.515380859375,0.5782528519630432,0.0328562967479229
morning/sunny/flat/5x/frame_1675.png,647.0828247070312,0.5802178978919983,0.03085027076303959,35.84894943237305,0.580703616142273,0.01679225079715252,640.9120483398438,0.5802180171012878,0.030850185081362724,647.0830078125,0.5802178978919983,0.030850280076265335
morning/sunny/flat/7x/frame_2225.png,707.0466918945312,0.5827460289001465,0.049325503408908844,35.61882019042969,0.5831145644187927,0.04093630611896515,700.1343383789062,0.5827460289001465,0.04932546615600586,707.0466918945312,0.5827460289001465,0.04932550713419914
morning/sunny/mixed/1x/frame_0425.png,392.283203125,0.5364391803741455,0.28625717759132385,320.29058837890625,0.5371591448783875,0.286292165517807,390.94921875,0.5366052985191345,0.28628572821617126,392.28912353515625,0.5364391803741455,0.28625717759132385
morning/sunny/mixed/3x/frame_0575.png,157.29869079589844,0.5448244214057922,0.22927290201187134,69.82811737060547,0.5454115867614746,0.22916507720947266,157.043212890625,0.5449378490447998,0.22927796840667725,157.2987518310547,0.5448244214057922,0.22927290201187134
morning/sunny/mixed/5x/frame_0825.png,276.4327697753906,0.5577908754348755,0.2189774066209793,71.04776000976562,0.5584516525268555,0.21863733232021332,275.33282470703125,0.5581979155540466,0.21912604570388794,276.4328308105469,0.5577908754348755,0.2189774066209793
morning/sunny/mixed/7x/frame_1025.png,387.7892150878906,0.5797290205955505,0.15452997386455536,40.5495491027832,0.5804000496864319,0.15321332216262817,385.8276672363281,0.5801166892051697,0.1545582264661789,387.7896728515625,0.5797290205955505,0.15452997386455536
morning/sunny/road_shaded/1x/frame_1925.png,1843.7178955078125,0.507107675075531,0.2705320119857788,1533.3948974609375,0.5084736943244934,0.2715401351451874,1834.150146484375,0.5073357820510864,0.2705475091934204,1843.719482421875,0.5071076154708862,0.2705320119857788
morning/sunny/road_shaded/3x/frame_3075.png,585.9791870117188,0.543982207775116,0.23745791614055634,516.7564086914062,0.5448894500732422,0.2384810596704483,582.8582153320312,0.5444427728652954,0.237608402967453,585.9783325195312,0.543982207775116,0.23745793104171753
morning/sunny/road_shaded/5x/frame_2275.png,1093.6951904296875,0.45371365547180176,0.2999606430530548,929.9440307617188,0.45475974678993225,0.3009842336177826,1088.25146484375,0.45387646555900574,0.2999866306781769,1093.6956787109375,0.45371365547180176,0.2999606430530548
morning/sunny/road_shaded/7x/frame_3425.png,282.41094970703125,0.5576782822608948,0.12135417014360428,96.6186294555664,0.5582455396652222,0.12321581691503525,280.51580810546875,0.5581291317939758,0.12140192836523056,282.41119384765625,0.5576782822608948,0.12135417759418488
